timestamp,value
2024-06-15 00:00:00,5.0099
2024-06-15 00:00:01,4.9976
2024-06-15 00:00:02,5.0137
2024-06-15 00:00:03,5.0315
2024-06-15 00:00:04,4.9967
2024-06-15 00:00:05,4.9971
2024-06-15 00:00:06,5.0337
2024-06-15 00:00:07,5.0178
2024-06-15 00:00:08,4.9934
2024-06-15 00:00:09,5.014
2024-06-15 00:00:10,4.9942
2024-06-15 00:00:11,4.9945
2024-06-15 00:00:12,5.009
2024-06-15 00:00:13,4.9663
2024-06-15 00:00:14,4.9704
2024-06-15 00:00:15,4.994
2024-06-15 00:00:16,4.9853
2024-06-15 00:00:17,5.0122
2024-06-15 00:00:18,4.9881
2024-06-15 00:00:19,4.9784
2024-06-15 00:00:20,5.0363
2024-06-15 00:00:21,5.0028
2024-06-15 00:00:22,5.009
2024-06-15 00:00:23,4.9795
2024-06-15 00:00:24,4.9975
2024-06-15 00:00:25,5.0109
2024-06-15 00:00:26,4.9861
2024-06-15 00:00:27,5.0169
2024-06-15 00:00:28,4.9978
2024-06-15 00:00:29,5.0043
2024-06-15 00:00:30,4.9984
2024-06-15 00:00:31,5.0479
2024-06-15 00:00:32,5.0109
2024-06-15 00:00:33,4.9904
2024-06-15 00:00:34,5.0283
2024-06-15 00:00:35,4.9878
2024-06-15 00:00:36,5.0167
2024-06-15 00:00:37,4.9737
2024-06-15 00:00:38,4.9867
2024-06-15 00:00:39,5.0175
2024-06-15 00:00:40,5.0287
2024-06-15 00:00:41,5.0177
2024-06-15 00:00:42,5.0123
2024-06-15 00:00:43,5.009
2024-06-15 00:00:44,4.9858
2024-06-15 00:00:45,5.0013
2024-06-15 00:00:46,5.0068
2024-06-15 00:00:47,5.0375
2024-06-15 00:00:48,5.0236
2024-06-15 00:00:49,4.9818
2024-06-15 00:00:50,5.0239
2024-06-15 00:00:51,5.0101
2024-06-15 00:00:52,5.0046
2024-06-15 00:00:53,5.0307
2024-06-15 00:00:54,5.0395
2024-06-15 00:00:55,5.0378
2024-06-15 00:00:56,5.0027
2024-06-15 00:00:57,5.0137
2024-06-15 00:00:58,5.0269
2024-06-15 00:00:59,5.0401
2024-06-15 00:01:00,5.0113
2024-06-15 00:01:01,5.0176
2024-06-15 00:01:02,4.9995
2024-06-15 00:01:03,4.998
2024-06-15 00:01:04,5.0386
2024-06-15 00:01:05,5.0498
2024-06-15 00:01:06,5.0216
2024-06-15 00:01:07,5.0434
2024-06-15 00:01:08,5.0309
2024-06-15 00:01:09,5.0112
2024-06-15 00:01:10,5.0316
2024-06-15 00:01:11,5.0555
2024-06-15 00:01:12,5.0244
2024-06-15 00:01:13,5.0567
2024-06-15 00:01:14,4.9734
2024-06-15 00:01:15,5.0426
2024-06-15 00:01:16,5.0282
2024-06-15 00:01:17,5.0209
2024-06-15 00:01:18,5.029
2024-06-15 00:01:19,4.9878
2024-06-15 00:01:20,5.0235
