timestamp,value
2024-06-15 00:00:00,3.3084
2024-06-15 00:00:01,3.3023
2024-06-15 00:00:02,3.3656
2024-06-15 00:00:03,3.2653
2024-06-15 00:00:04,3.2471
2024-06-15 00:00:05,3.3018
2024-06-15 00:00:06,3.2174
2024-06-15 00:00:07,3.3372
2024-06-15 00:00:08,3.3077
2024-06-15 00:00:09,3.2862
2024-06-15 00:00:10,3.2838
2024-06-15 00:00:11,3.3493
2024-06-15 00:00:12,3.3481
2024-06-15 00:00:13,3.2922
2024-06-15 00:00:14,3.3345
2024-06-15 00:00:15,3.3484
2024-06-15 00:00:16,3.3224
2024-06-15 00:00:17,3.2957
2024-06-15 00:00:18,3.3253
2024-06-15 00:00:19,3.2547
2024-06-15 00:00:20,3.3105
2024-06-15 00:00:21,3.2957
2024-06-15 00:00:22,3.2882
2024-06-15 00:00:23,3.2217
2024-06-15 00:00:24,3.257
2024-06-15 00:00:25,3.2844
2024-06-15 00:00:26,3.3538
2024-06-15 00:00:27,3.3237
2024-06-15 00:00:28,3.3568
2024-06-15 00:00:29,3.3723
2024-06-15 00:00:30,3.3269
2024-06-15 00:00:31,3.3178
2024-06-15 00:00:32,3.2625
2024-06-15 00:00:33,3.4108
2024-06-15 00:00:34,3.241
2024-06-15 00:00:35,3.3182
2024-06-15 00:00:36,3.3542
2024-06-15 00:00:37,3.3552
2024-06-15 00:00:38,3.2555
2024-06-15 00:00:39,3.2926
2024-06-15 00:00:40,3.274
2024-06-15 00:00:41,3.2153
2024-06-15 00:00:42,3.3212
2024-06-15 00:00:43,3.2791
2024-06-15 00:00:44,3.3906
2024-06-15 00:00:45,3.3465
2024-06-15 00:00:46,3.3181
2024-06-15 00:00:47,3.2928
2024-06-15 00:00:48,3.3225
2024-06-15 00:00:49,3.3043
2024-06-15 00:00:50,3.3209
2024-06-15 00:00:51,3.4129
2024-06-15 00:00:52,3.2649
2024-06-15 00:00:53,3.3101
2024-06-15 00:00:54,3.3542
2024-06-15 00:00:55,3.2992
2024-06-15 00:00:56,3.3986
2024-06-15 00:00:57,3.3538
2024-06-15 00:00:58,3.2843
2024-06-15 00:00:59,3.3308
2024-06-15 00:01:00,3.2857
2024-06-15 00:01:01,3.2814
2024-06-15 00:01:02,3.3146
2024-06-15 00:01:03,3.3852
2024-06-15 00:01:04,3.3596
2024-06-15 00:01:05,3.3215
2024-06-15 00:01:06,3.3621
2024-06-15 00:01:07,3.3368
2024-06-15 00:01:08,3.2652
2024-06-15 00:01:09,3.3168
2024-06-15 00:01:10,3.3207
2024-06-15 00:01:11,3.3628
2024-06-15 00:01:12,3.2968
2024-06-15 00:01:13,3.2798
2024-06-15 00:01:14,3.3235
2024-06-15 00:01:15,3.2939
2024-06-15 00:01:16,3.3103
2024-06-15 00:01:17,3.3228
2024-06-15 00:01:18,3.308
2024-06-15 00:01:19,3.3757
2024-06-15 00:01:20,3.3986
2024-06-15 00:01:21,3.3714
2024-06-15 00:01:22,3.24
2024-06-15 00:01:23,3.2968
2024-06-15 00:01:24,3.3203
2024-06-15 00:01:25,3.2373
2024-06-15 00:01:26,3.2862
2024-06-15 00:01:27,3.3207
2024-06-15 00:01:28,3.3082
2024-06-15 00:01:29,3.3314
2024-06-15 00:01:30,3.2623
2024-06-15 00:01:31,3.3087
2024-06-15 00:01:32,3.3396
2024-06-15 00:01:33,3.3329
2024-06-15 00:01:34,3.3551
2024-06-15 00:01:35,3.3525
2024-06-15 00:01:36,3.3131
